Date,Open,High,Low,Close,Volume,Adj Close
2016-05-27,37.90,38.38,37.50,38.32,1073600,38.32
2016-05-26,37.90,38.09,37.41,37.69,986300,37.69
2016-05-25,38.60,38.84,37.49,37.86,2018100,37.86
2016-05-24,39.04,39.18,38.45,38.51,999100,38.51
2016-05-23,39.07,39.50,38.91,39.04,978100,39.04
2016-05-20,40.00,40.00,38.76,39.06,1267400,39.06
2016-05-19,40.20,40.43,39.60,39.79,582500,39.79
2016-05-18,40.65,40.65,40.00,40.49,380200,40.49
2016-05-17,40.82,40.88,40.45,40.64,500600,40.64
2016-05-16,40.11,40.98,39.80,40.82,702100,40.82
2016-05-13,40.51,40.72,39.88,39.95,911200,39.95
2016-05-12,40.61,41.04,39.58,40.60,447700,40.60
2016-05-11,40.65,41.08,40.28,40.61,1223400,40.61
2016-05-10,41.64,41.64,39.77,40.40,1454200,40.40
2016-05-09,42.39,42.88,41.52,41.56,754200,41.56
2016-05-06,43.14,43.25,41.98,42.36,661200,42.36
2016-05-05,43.35,43.35,42.86,43.14,413200,43.14
2016-05-04,43.20,43.67,42.60,43.54,1149800,43.54
2016-05-03,42.96,43.68,42.58,43.58,1975100,43.58
2016-05-02,42.37,42.37,42.37,42.37,000,42.37
2016-04-29,42.10,42.85,41.18,42.37,974400,42.37
2016-04-28,42.10,42.14,41.00,41.79,1217200,41.79
2016-04-27,41.31,42.10,40.71,41.98,851800,41.98
2016-04-26,40.75,41.23,40.30,41.21,734100,41.21
2016-04-25,40.06,40.74,39.50,40.64,951500,40.64
2016-04-22,40.00,40.20,39.50,40.01,598900,40.01
2016-04-21,40.62,40.86,39.80,40.13,647500,40.13
2016-04-20,41.70,42.39,39.50,40.62,1279300,40.62
2016-04-19,40.60,41.47,40.60,41.45,578300,41.45
2016-04-18,41.62,41.62,40.81,41.00,1413100,41.00
2016-04-15,42.68,43.20,41.82,41.98,1287200,41.98
2016-04-14,42.42,43.41,42.42,42.77,1724100,42.77
2016-04-13,42.45,43.47,42.20,42.25,1930400,42.25
2016-04-12,42.52,43.68,42.30,42.47,1788000,42.47
2016-04-11,41.90,42.68,41.58,42.48,1087500,42.48
2016-04-08,42.05,42.12,41.54,41.73,1500900,41.73
2016-04-07,41.84,42.17,41.77,42.11,932600,42.11
2016-04-06,41.85,42.08,41.58,41.95,757100,41.95
2016-04-05,41.58,42.15,41.06,42.04,1544300,42.04
2016-04-04,41.90,41.90,41.90,41.90,000,41.90
2016-04-01,40.66,42.10,40.41,41.90,2604100,41.90
2016-03-31,40.30,40.83,40.19,40.67,2018800,40.67
