Date,Open,High,Low,Close,Volume,Adj Close
2016-05-27,10.35,10.46,10.20,10.24,4172800,10.24
2016-05-26,10.50,10.55,10.16,10.36,6154000,10.36
2016-05-25,10.51,10.75,10.42,10.60,11880300,10.60
2016-05-24,10.30,10.85,10.30,10.64,19012500,10.64
2016-05-23,10.06,10.06,10.06,10.06,000,10.06
2016-05-20,10.06,10.06,10.06,10.06,000,10.06
2016-05-19,10.06,10.06,10.06,10.06,000,10.06
2016-05-18,10.06,10.06,10.06,10.06,000,10.06
2016-05-17,10.06,10.06,10.06,10.06,000,10.06
2016-05-16,10.06,10.06,10.06,10.06,000,10.06
2016-05-13,10.06,10.06,10.06,10.06,000,10.06
2016-05-12,10.06,10.06,10.06,10.06,000,10.06
2016-05-11,10.06,10.06,10.06,10.06,000,10.06
2016-05-10,10.06,10.06,10.06,10.06,000,10.06
2016-05-09,11.08,11.08,9.97,10.06,14756300,10.06
2016-05-06,11.77,11.86,11.08,11.08,11199200,11.08
2016-05-05,11.85,11.85,11.58,11.78,6484300,11.78
2016-05-04,11.60,12.04,11.51,11.81,9771600,11.81
2016-05-03,11.29,11.65,11.17,11.57,8707300,11.57
2016-05-02,11.28,11.28,11.28,11.28,000,11.28
2016-04-29,11.40,11.62,11.26,11.28,5389700,11.28
2016-04-28,11.48,11.63,11.20,11.38,7085500,11.38
2016-04-27,11.20,11.60,11.19,11.50,9111000,11.50
2016-04-26,11.05,11.33,11.02,11.24,4521700,11.24
2016-04-25,11.24,11.25,10.94,11.05,5861300,11.05
2016-04-22,11.13,11.28,11.02,11.24,4843500,11.24
2016-04-21,11.40,11.52,11.08,11.13,7030000,11.13
2016-04-20,11.81,12.06,11.00,11.46,16478500,11.46
2016-04-19,11.93,11.99,11.72,11.88,5863700,11.88
2016-04-18,12.00,12.00,11.65,11.91,9697900,11.91
2016-04-15,12.25,12.26,11.95,12.06,7188100,12.06
2016-04-14,12.22,12.31,11.98,12.25,9508100,12.25
2016-04-13,12.18,12.30,12.06,12.12,12422300,12.12
2016-04-12,12.10,12.24,11.70,12.00,7388400,12.00
2016-04-11,11.98,12.23,11.90,12.00,12204200,12.00
2016-04-08,11.53,11.84,11.39,11.79,9748100,11.79
